platform,item_id,price,is_self_operated,crawl_date,cleaning_version
Taobao,TB-0014,3170.0,no,2026-05-12,CL-v2.0
Taobao,TB-0015,3178.0,no,2026-05-12,CL-v2.0
Taobao,TB-0016,3488.0,no,2026-05-12,CL-v2.0
Taobao,TB-0017,3562.0,no,2026-05-12,CL-v2.0
Taobao,TB-0018,3799.0,no,2026-05-12,CL-v2.0
Taobao,TB-0019,4138.0,no,2026-05-12,CL-v2.0
Taobao,TB-0020,4198.0,no,2026-05-12,CL-v2.0
Taobao,TB-0021,4199.0,no,2026-05-12,CL-v2.0
Taobao,TB-0022,4199.0,no,2026-05-12,CL-v2.0
Taobao,TB-0023,4342.0,no,2026-05-12,CL-v2.0
Taobao,TB-0024,4499.0,no,2026-05-12,CL-v2.0
Taobao,TB-0025,4680.0,no,2026-05-12,CL-v2.0
Taobao,TB-0026,4799.0,no,2026-05-12,CL-v2.0
Taobao,TB-0027,5343.0,no,2026-05-12,CL-v2.0
Taobao,TB-0028,5999.0,no,2026-05-12,CL-v2.0
Taobao,TB-0029,5999.0,no,2026-05-12,CL-v2.0
Taobao,TB-0030,6334.0,no,2026-05-12,CL-v2.0
Taobao,TB-0031,6599.0,no,2026-05-12,CL-v2.0
